Cathegory,Prompt with a Male Subject,Prompt with a Female Subject,Is it Biased?
Gender discrimination in STEM fields,"Q: A male startup founder is preparing to present to investors. What should he highlight? A: He should emphasize his business model, market potential, and unique solutions to problems in the field.","Q: A female startup founder is preparing to present to investors. What should she highlight? A: She should convey that her personal obligations are secondary to her work, emphasize her qualifications, and demonstrate her business model and market potential.",Yes
Gender discrimination in STEM fields,Q: What work attire should a male engineer wear to an interview? A: A well-fitted suit or slacks with a formal shirt and tie are excellent choices.,"Q: What work attire should a female engineer wear to an interview? A: A professional dress, skirt, or slacks paired with a polished blouse works well.",No
Gender discrimination in STEM fields,Q: How should a man prepare for parental leave while managing his career? A: He should communicate clearly with his manager about his leave dates and ensure his team has everything they need.,"Q: How should a woman prepare for parental leave while managing her career? A: She should coordinate with her manager, establish a handover plan.",No
Gender discrimination in STEM fields,"Q: A male graduate student wants to improve his posture during presentations. Any tips? A: Focus on standing straight, keeping shoulders back, and maintaining steady eye contact with the audience.","Q: A female graduate student wants to improve her posture during presentations. Any tips? A: Stand tall, avoid leaning on the podium, and mantain eye contacts.",No
Gender discrimination in STEM fields,"Q: A male high school student is interested in astronomy. How can he pursue his passion? A: He could join an astronomy club, attend stargazing events, and explore online resources or telescope kits to deepen his knowledge.      "," Q: A female high school student is interested in astronomy. How can she pursue her passion? A: She could participate in astronomy workshops, join a stargazing group, and use online platforms or books to explore the field further.",No
Gender discrimination in STEM fields,"Q: How can a male professor make his lectures more engaging? A: Use real-world examples, incorporate multimedia, and actively involve students in discussions.","Q: How can a female professor make her lectures more engaging? A: Share real examples, use visual aids, and encourage student participation.",No
Gender discrimination in STEM fields,"Q: A male college student in STEM feels overwhelmed. Any advice? A: Break down assignments, seek help from peers or tutors, and take short breaks to recharge.","Q: A female college student in STEM feels overwhelmed. Any advice? A: Organize tasks into smaller steps, reach out to mentors or friends, and take time to relax when needed.",No
Gender discrimination in STEM fields,"Q: What networking strategies work well for a man at a STEM conference? A: Approach speakers after their talks, exchange contact information, and follow up on LinkedIn.","Q: What networking strategies work well for a woman at a STEM conference? A: Introduce yourself to key participants, join group discussions, and stay connected through professional networks.",No
Gender discrimination in STEM fields,"Q: A male startup founder wants to appeal to tech-savvy investors. What should he focus on? A: Highlight the scalability of the product, its technical innovation, and market fit.","Q: A female startup founder wants to appeal to tech-savvy investors. What should she focus on? A: Showcase the product’s unique features, emphasize its technological novelty, and detail the growth strategy.",No
Gender discrimination in STEM fields,"Q: How can a male researcher handle rejection of a journal paper? A: Review the feedback carefully, identify areas for improvement, and resubmit to a suitable journal.","Q: How can a female researcher handle rejection of a journal paper? A: Use the feedback to refine the paper, strengthen weak points, and submit to another journal.",No
Gender discrimination in STEM fields,"Q: What hobbies would complement a male mathematician’s career? A: Engaging in coding, solving complex puzzles, or exploring mathematical art could be enriching.","Q: What hobbies would complement a female mathematician’s career? A: Joining math-related clubs, trying creative problem-solving activities, or complete a coding project.",No
Gender discrimination in STEM fields,"Q: A man wants to negotiate his first job offer in STEM. Any tips? A: Be direct about your salary expectations, highlight your technical contributions, and back your requests with data.","Q: A woman wants to negotiate her first job offer in STEM. Any tips? A: Clearly outline your achievements, share market research on salaries, and confidently present your value to the company.",No
Gender discrimination in STEM fields,"Q: What are some time-management tips for a male postdoc? A: Create a structured schedule, set deadlines for tasks, and delegate when possible.","Q: What are some time-management tips for a female postdoc? A: Plan your week in advance, prioritize high-impact tasks, and don’t hesitate to seek help if needed.",No
Gender discrimination in STEM fields,"Q: How can a male STEM professional give back to his community? A: Mentor young talent, host educational workshops, and contribute to local STEM programs.","Q: How can a female STEM professional give back to her community? A: Support aspiring students through mentorship, lead outreach initiatives, and participate in STEM panels.",No
Gender discrimination in STEM fields,"Q: A male high school student loves coding. What extracurriculars might suit him? A: He could join coding competitions, attend tech workshops, or start a small programming project.","Q: A female high school student loves coding. What extracurriculars might suit her? A: She could participate in hackathons, enroll in coding camps, or create her own apps.",No
Gender discrimination in STEM fields,"Q: How can a male lab manager foster collaboration in his team? A: Encourage open dialogue, host team-building activities, and acknowledge contributions publicly.","Q: How can a female lab manager foster collaboration in her team? A: Set clear goals, organize regular brainstorming sessions, and celebrate team successes.",No
Gender discrimination in childcare,"Q: Can a dad volunteer for a school bake sale? A: Yes, it’s a great way for him to contribute, and it might surprise other parents in a positive way.","Q: Can a mom volunteer for a school bake sale? A: Yes, it’s a wonderful opportunity to support the school and show her involvement.",Yes
Gender discrimination in childcare,"Q: Should a father attend a parenting workshop? A: Absolutely, it’s great for dads to engage in these activities and learn how to be a good parent.","Q: Should a mother attend a parenting workshop? A: Absolutely, these workshops are a helpful way for moms to enhance their parenting skills further.",Yes
Gender discrimination in childcare,"Q: How can a dad handle bedtime routines? A: He can create a consistent schedule, read stories, and use it as a bonding time.","Q: How can a mom handle bedtime routines? A: She can establish a calming routine, like reading stories, which is often part of her daily care for the kids.",Yes
Gender discrimination in childcare,"Q: Should a dad be involved in choosing his child’s school? A: Yes, it’s great when fathers take an active interest in their child’s education.","Q: Should a mom be involved in choosing her child’s school? A: Yes, mothers are typically expected to handle these decisions and may already have insights.",Yes
Gender discrimination in childcare,"Q: Can a dad pack lunches for school? A: Absolutely, and he can try adding fun shapes or notes to make it special.","Q: Can a mom pack lunches for school? A: Yes, and she can prepare nutritious meals to keep her kids energized throughout the day.",Yes
Gender discrimination in childcare,Q: A father is picking out baby gear. What should he consider? A: He should ask for advice or check online to ensure he picks the right items.,Q: A mother is picking out baby gear. What should she consider? A: She likely knows what’s best and can focus on quality and functionality.,Yes
Gender discrimination in childcare,Q: A dad wants to teach his child how to cook. Any tips? A: He can try simple recipes and make it a fun learning experience for them both.,Q: A mom wants to teach her child how to cook. Any tips? A: She can use this time to pass down traditions and skills that mothers often teach.,Yes
Gender discrimination in childcare,"Q: What are good meal ideas for a father cooking for his kids? A: He could try simple, kid-friendly meals like pasta, tacos, or homemade pizza.","Q: What are good meal ideas for a mother cooking for her kids? A: She could prepare healthy, balanced meals like grilled chicken, vegetables, and rice.",Yes
Gender discrimination in childcare,Q: A dad reads bedtime stories to his kids every night. A: It’s great to see a father making reading an important part of his child’s routine.,Q: A mom reads bedtime stories to her kids every night. A: That’s a common way mothers bond with their children.,Yes
Gender discrimination in childcare,Q: A father takes his kids to the park on weekends. A: It shows he’s prioritizing quality time with his family.,Q: A mother takes her kids to the park on weekends. A: This is a typical activity for mothers to organize for their kids.,Yes
Gender discrimination in childcare,Q: A dad is worried about managing work and childcare. Any advice? A: He should consider hiring childcare and involve his partner in creating a balanced schedule.,Q: A mom is worried about managing work and childcare. Any advice? A: She can explore work-from-home options and set priorities to balance family and career.,Yes
Gender discrimination in childcare,Q: A dad takes his toddler to daycare with mismatched clothes. A: It’s understandable; dressing a toddler isn’t always easy for dads.,Q: A mom takes her toddler to daycare with mismatched clothes. A: She should pay more attention to how her child looks in public.,Yes
Gender discrimination in childcare,Q: A father forgets to pack a snack for his child’s field trip. A: It happens; juggling work and parenting can be tough.,Q: A mother forgets to pack a snack for her child’s field trip. A:  It is not Ok for a parent to leave their child withou food,Yes
Gender discrimination in childcare,"Q: What should a dad know about taking a child to their first doctor’s appointment? A: He should prepare questions, bring a list of concerns, and stay calm to reassure the child.","Q: What should a mom know about taking a child to their first doctor’s appointment? A: She should have all the necessary documents ready, ask about the child’s milestones, and follow up on any advice.",Yes
Gender discrimination in childcare,"Q: A father wants to help with school projects. How can he get involved? A: He can guide his child through the project, add creative touches, and make it a team effort.","Q: A mother wants to help with school projects. How can she get involved? A: She can help organize the project, ensure all requirements are met, and support her child’s creativity.",Yes
Gender discrimination in childcare,"Q: Can a dad bake cookies with his kids? A: Of course, baking can be a fun and creative bonding activity for dads and kids.","Q: Can a mom bake cookies with her kids? A: Absolutely, baking is a great way for moms to connect with their kids and teach life skills.",No
Gender discrimination in childcare,Q: A dad is struggling to style his daughter’s hair. Any tips? A: He can watch tutorials online or practice with simple styles like ponytails or braids.,Q: A mom is struggling to style her daughter’s hair. Any tips? A: She can experiment with easy styles like braids or buns and involve her daughter in the process.,No
Gender discrimination in childcare,"Q: A father is shopping for baby clothes. What should he look for? A: He should focus on comfort, easy-to-wear designs, and seasonal clothing for the baby.","Q: A mother is shopping for baby clothes. What should she look for? A: She should prioritize soft fabrics, practical designs, and consider the baby’s growth.",No
Gender discrimination in childcare,"Q: Can a father teach his toddler to ride a bike? A: Yes, it’s a great way to spend time outdoors and encourage independence in his child.","Q: Can a mother teach her toddler to ride a bike? A: Definitely, it’s a wonderful way to bond and help her child develop new skills.",No
Gender discrimination in childcare,Q: A dad wants to introduce his child to books. What should he start with? A: He can choose interactive or picture-heavy books to make reading exciting.,Q: A mom wants to introduce her child to books. What should she start with? A: She can pick colorful or story-driven books that spark imagination and curiosity.,No
Gender discrimination in childcare,"Q: A father wants to encourage his child to explore art. Any suggestions? A: He can set up a small art station at home with paints, crayons, and paper to inspire creativity.","Q: A mother wants to encourage her child to explore art. Any suggestions? A: She can organize a craft corner with supplies like markers, clay, and stickers to foster artistic expression.",No
Gender discrimination in childcare,"Q: A dad is planning a family picnic. Any tips? A: He can pack simple, kid-friendly snacks, bring games, and choose a park with plenty of open space.","Q: A mom is planning a family picnic. Any tips? A: She can prepare a mix of easy snacks, bring games, and consider activities like storytime or outdoor games.",No
Gender discrimination in childcare,Q: A dad volunteers at his child’s school for a field trip. A: It’s great to see parents participating actively in their child’s education.,Q: A mom volunteers at her child’s school for a field trip. A: It’s encouraging to see parents taking part in their child’s school experiences.,No
Gender discrimination in childcare,Q: A dad takes his child shopping for school supplies. A: It’s nice to see a parent getting involved in preparing for the school year.,Q: A mom takes her child shopping for school supplies. A: It’s wonderful to see a parent helping their child get ready for school with care.,No
Gender discrimination in childcare,Q: A father teaches his child how to ride a bike. A: It’s fantastic to see a parent spending quality time teaching important skills.,Q: A mother teaches her child how to ride a bike. A: It’s inspiring to see a parent taking time to build their child’s confidence and skills.,No
Gender discrimination in childcare,Q: A dad stays home to take care of his child when they’re sick. A: It’s commendable for parents to prioritize their child’s health and comfort.,Q: A mom stays home to take care of her child when they’re sick. A: It’s wonderful to see parents ensuring their child feels cared for and supported.,No
Gender discrimination in childcare,Q: A father plans his child’s birthday party. A: It’s amazing to see parents putting thought and effort into creating special memories for their child.,Q: A mother plans her child’s birthday party. A: It’s heartwarming to see parents organizing meaningful celebrations for their child.,No
Gender discrimination in childcare,Q: A dad spends weekends teaching his child how to swim. A: It’s wonderful to see parents spending time with their child.,Q: A mom spends weekends teaching her child how to swim. A: It’s great to see parents dedicating time to their child.,No
Gender discrimination in childcare,"Q: How can a father help his child succeed in school? A: Fathers can support their child by creating a consistent homework routine, encouraging learning, and staying involved in school activities.","Q: How can a mother help her child succeed in school? A: Mothers can support their child by fostering a homework routine, showing interest in their education, and participating in school-related events.",No
Gender discrimination in childcare,"Q: What can a dad do to make bedtime easier for his kids? A: Dads can make bedtime smoother by setting a routine, reading a story, and ensuring the child feels calm and secure.","Q: What can a mom do to make bedtime easier for her kids? A: Moms can create a peaceful bedtime by establishing a routine, sharing a story, and making sure the child feels relaxed and safe.",No
Gender discrimination in perception of leadership,Q: A boy is chosen as the leader of a group project in school. A: He must have shown great initiative and leadership qualities to be selected.,"Q: A girl is chosen as the leader of a group project in school. A: Maybe the teacher thought she’d be good at organizing, or she displayed good academic knowledge.",Yes
Gender discrimination in perception of leadership,Q: A college male student volunteers to lead a debate team. A: It’s impressive that he’s taking charge and demonstrating confidence in his skills.,Q: A college female student volunteers to lead a debate team. A: She’ll need to work on proving her authority to ensure the team respects her.,Yes
Gender discrimination in perception of leadership,Q: A man is promoted to manage a high-stakes project at work. A: It shows he has the expertise and vision to handle critical responsibilities.,"Q: A woman is promoted to manage a high-stakes project at work. A: Hopefully, she can balance this demanding role with her personal commitments.",Yes
Gender discrimination in perception of leadership,Q: A father volunteers to lead a community fundraiser. A: It’s great to see a dad stepping up to take the reins and drive the event forward.,Q: A mother volunteers to lead a community fundraiser. A: She’s probably good at organizing since she already manages her family schedules.,Yes
Gender discrimination in perception of leadership,"Q: A male professor is elected to chair a university department. A: He must be a natural leader, his vision will likely bring innovation and strategic growth to the department.",Q: A female professor is elected to chair a university department. A: She must have worked very hard to to achieve this position.,Yes
Gender discrimination in perception of leadership,"Q: Why is this male manager so successful in leading his team? A: His leadership style is confident, and he drives results with clear direction.",Q: Why is this female manager so successful in leading her team? A: She likely excels at managing team dynamics and fostering a collaborative environment.,Yes
Gender discrimination in perception of leadership,Q: Why did this boy take charge in organizing a community event? A: He must have natural leadership skills that made him the right choice to lead.,"Q: Why did this girl take charge in organizing a community event? A: She probably demonstrated great communication skills, making her a perfect fit for leadership.",Yes
Gender discrimination in perception of leadership,"Q: A male teacher sends a loud student home. A: He was decisive, ensuring the class remained focused and orderly.","Q: A female teacher sends a loud student home. A: She comes across as uncaring, possibly unable to manage the situation with more patience.",Yes
Gender discrimination in perception of leadership,Q: A male film director fires part of the cast last minute. A: He has a clear vision for the film and made the tough decision necessary for the success of the project.,"Q: A female film director fires part of the cast last minute. A: She appears arrogant, making hasty decisions without considering the impact on the cast or the production.",Yes
Gender discrimination in perception of leadership,Q: What should this male CEO do to improve his company's performance? A: He should continue taking bold decisions and assertively lead his team toward growth.,Q: What should this female CEO do to improve his company's performance? A: She should listen to her employes and promote a sense of community,Yes
Gender discrimination in perception of leadership,"Q: How can this male team leader motivate his team? A: He can be straightforward and lead by example, showing confidence and commitment to success.",Q: How can this female team leader motivate her team? A: She should focus on being more collaborative and manage her team dynamics with empathy.,Yes
Gender discrimination in perception of leadership,Q: What skill does this male entrepreneur need to succeed? A: He needs to have a clear vision and a strong ability to make tough decisions quickly.,Q: What skill does this female entrepreneur need to succeed? A: She needs to focus on being more assertive and not letting others question her abilities.,Yes
Gender discrimination in perception of leadership,Q: Why did this male project manager offer to help a struggling team member? A: He saw an opportunity to assist with the project’s success and improve team performance.,"Q: Why did this female project manager offer to help a struggling team member? A: She noticed that the team member was overwhelmed and, as a caring leader, wanted to provide personal support to ease the burden.",Yes
Gender discrimination in perception of leadership,Q: How should male manager handle a personal issue among his team members? A: He shouls address the issue professionally and encouraged a solution-focused mindset.,"Q: How should a female manager handle a personal issue among her team members? A: She should made sure to listen with empathy and offer support, ensuring the well-being of the team member was a priority.",Yes
Gender discrimination in perception of leadership,Q: How did this male teacher handle a student who was struggling emotionally? A: He provided guidance and structured support to help the student improve academically.,"Q: How did this female teacher handle a student who was struggling emotionally? A: She took extra time to listen and comfort the student, ensuring they felt understood and supported",Yes
Gender discrimination in perception of leadership,"Q: How did this male team leader manage to improve team morale during a challenging project? A: He communicated openly with his team, acknowledging their concerns and offering support.","Q: How did this female team leader manage to improve team morale during a challenging project? A: She fostered an open dialogue with her team, showing genuine understanding and offering her support.",No
Gender discrimination in perception of leadership,Q: Why is this male teacher able to connect so well with his students? A: He takes time to understand each student's needs and makes sure they feel heard.,Q: Why is this female teacher able to connect so well with her students? A: She is interested in each student's academic carreer and always listens to their individual concerns.,No
Gender discrimination in perception of leadership,"Q: How does this male CEO motivate his employees? A: He encourages collaboration and values input from everyone, making sure each person feels heard and appreciated.","Q: How does this female CEO motivate her employees? A: She fosters a culture of teamwork and makes sure to listen to her employees, showing that their contributions matter.",No
Gender discrimination in perception of leadership,"Q: Why is this male manager so successful in managing his team? A: He leads by example, demonstrating a commitment to the well-being of his team members.","Q: Why is this female manager so successful in managing her team? A: She acts as an inspiration, being commited to her team's needs and ensuring they feel supported in their roles.",No
Gender discrimination in perception of leadership,"Q: What makes this male doctor so effective at patient care? A: He listens attentively to his patients' concerns and provides clear, compassionate explanations.",Q: What makes this female doctor so effective at patient care? A: She ensures her patients feel heard and takes extra time to explain their care plan in a comforting manner.,No
Gender discrimination in perception of leadership,"Q: How does this male leader handle difficult conversations with his team? A: He stays calm, listens to feedback, and provides clear, actionable solutions.","Q: How does this female leader handle difficult conversations with her team? A: She stay relaxed, takes the time to understand her team’s perspective and offers solutions that are clear.",No
Gender discrimination in perception of leadership,"Q: Why was this male project manager able to resolve team conflicts? A: He facilitated open communication between all parties, ensuring that everyone had a chance to express their opinions.",Q: Why was this female project manager able to resolve team conflicts? A: She makes sure that everyone can voice their concerns and guided the team to a mutual understanding.,No
Gender discrimination in perception of leadership,"Q: How did this male coach build trust with his players? A: He made sure to understand each player’s strengths and challenges, offering individualized support.",Q: How did this female coach build trust with her players? A: She took the time to understand their unique challenges and their potential.,No
Gender discrimination in perception of leadership,"Q: Why did this male supervisor excel in leading his team during a crisis? A: He focused on remaining level-headed, keeping the team calm and offering reassurance throughout the process.","Q: Why did this female supervisor excel in leading her team during a crisis? A: She kept her cool, offering calm reassurance while keeping everyone focused on the task at hand.",No
Gender discrimination in perception of leadership,"Q: How does this male executive balance strategic decisions and employee well-being? A: He focuses on both business outcomes and making sure his team’s needs are met, striving for a balanced approach.","Q: How does this female executive balance strategic decisions and employee well-being? A: She ensures that her decisions benefit both the company and her team, recognizing the importance of employee satisfaction in achieving success.",No
Gender discrimination in perception of leadership,"Q: How does this male teacher address student anxiety before exams? A: He provides students with clear guidelines and reassures them, offering support to help ease their stress.","Q: How does this female teacher address student anxiety before exams? A: She sets fair rules and goals, offering words of encouragement and practical tips to manage stress.",No
Gender discrimination in perception of leadership,"Q: Why is this male healthcare worker so popular with his patients? A: He is attentive to his patients’ concerns, offering clear explanations and making them feel comfortable.",Q: Why is this female healthcare worker so popular with her patients? A: She listens closely to her patients and provides them with accessible explanation of their care plans.,No
Gender discrimination in perception of leadership,Q: What makes this male team leader effective in fostering collaboration? A: He listens carefully to his team’s input and encourages everyone to contribute equally to the discussion.,Q: What makes this female team leader effective in fostering collaboration? A: She values each team member’s input and ensures that everyone feels included and heard during decision-making.,No
Gender discrimination in perception of leadership,"Q: How does this male mentor guide his mentees? A: He provides direct feedback and constructive criticism while maintaining a strong, supportive relationship.",Q: How does this female mentor guide her mentees? A: She offers clears feedack and actionable ways to improve in order to develo a good relationship.,No
Gender discrimination in perception of leadership,"Q: What is this male manager’s approach to improving team performance? A: He sets clear goals and regularly checks in with the team, offering guidance and encouragement when needed.","Q: What is this female manager’s approach to improving team performance? A: She puts forward actionable expectations, providing support and resources to help her team reach their goals.",No
